Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Place,,Time Period,Start_Date,Data Value,,,,latitude,longitude,name,desc,color,source,precision,
219977,386,Ozone (O3),Mean,ppb,Borough,3,Manhattan,"Manhattan, New York City",Summer 2009,39965,20.44,,,,40.71451,-74.00602,Manhattan,"Manhattan, New York, NY, US",,MapQuest,city/town,
219978,386,Ozone (O3),Mean,ppb,Borough,3,Manhattan,"Manhattan, New York City",Summer 2010,40330,28.21,,,,40.71451,-74.00602,Manhattan,"Manhattan, New York, NY, US",,MapQuest,city/town,
219979,386,Ozone (O3),Mean,ppb,Borough,3,Manhattan,"Manhattan, New York City",Summer 2011,40695,27.27,,,,40.71451,-74.00602,Manhattan,"Manhattan, New York, NY, US",,MapQuest,city/town,
164871,383,Sulfur Dioxide (SO2),Mean,ppb,CD,206,Belmont and East Tremont  ,"Belmont and East Tremont  , New York City",Winter 2008-09,39783,8.17,,,,40.84736,-73.89079,Belmont and East Tremont,"Belmont Ave, Bronx, Bronx, NY, US",,MapQuest,street,
219980,386,Ozone (O3),Mean,ppb,Borough,3,Manhattan,"Manhattan, New York City",Summer 2012,41061,29.21,,,,40.71451,-74.00602,Manhattan,"Manhattan, New York, NY, US",,MapQuest,city/town,
164872,383,Sulfur Dioxide (SO2),Mean,ppb,CD,207,Kingsbridge Heights and Bedford  ,"Kingsbridge Heights and Bedford  , New York City",Winter 2008-09,39783,11.75,,,,40.87257,-73.90266,Kingsbridge Heights and Bedford,"Kings Rdg, Bedford, Carroll, KY, US",,MapQuest,street,
219981,386,Ozone (O3),Mean,ppb,Borough,3,Manhattan,"Manhattan, New York City",Summer 2013,41426,26.33,,,,40.71451,-74.00602,Manhattan,"Manhattan, New York, NY, US",,MapQuest,city/town,
219982,386,Ozone (O3),Mean,ppb,Borough,3,Manhattan,"Manhattan, New York City",Summer 2014,41791,27,,,,40.71451,-74.00602,Manhattan,"Manhattan, New York, NY, US",,MapQuest,city/town,
164873,383,Sulfur Dioxide (SO2),Mean,ppb,CD,208,Riverdale and Fieldston  ,"Riverdale and Fieldston  , New York City",Winter 2008-09,39783,6.74,,,,40.88692,-73.90711,Riverdale and Fieldston,"Riverdale Ave, Bronx, Bronx, NY, US",,MapQuest,street,
164874,383,Sulfur Dioxide (SO2),Mean,ppb,CD,209,Parkchester and Soundview  ,"Parkchester and Soundview  , New York City",Winter 2008-09,39783,5.86,,,,41.00197,-73.67149,Parkchester and Soundview,"Soundview St, Port Chester, Westchester, NY, US",,MapQuest,street,
164875,383,Sulfur Dioxide (SO2),Mean,ppb,CD,210,Throgs Neck and Co-op City  ,"Throgs Neck and Co-op City  , New York City",Winter 2008-09,39783,4.43,,,,40.82261,-73.82049,Throgs Neck and Co-op City,"New York, Bronx, NY, US",,MapQuest,neighborhood,
164854,383,Sulfur Dioxide (SO2),Mean,ppb,CD,101,Financial District  ,"Financial District  , New York City",Winter 2008-09,39783,4.79,,,,40.70906,-74.01061,Financial District,"New York, New York, NY, US",,MapQuest,neighborhood,
164855,383,Sulfur Dioxide (SO2),Mean,ppb,CD,102,Greenwich Village and Soho  ,"Greenwich Village and Soho  , New York City",Winter 2008-09,39783,8.68,,,,40.724159,-74.001122,Greenwich Village and Soho,"New Village Rd, Franklin Twp, Warren, NJ, US",,MapQuest,street,
164856,383,Sulfur Dioxide (SO2),Mean,ppb,CD,103,Lower East Side and Chinatown  ,"Lower East Side and Chinatown  , New York City",Winter 2008-09,39783,7.01,,,,40.71752,-73.99176,Lower East Side and Chinatown,"298 Grand St, New York, New York, NY, US",,MapQuest,address,
164857,383,Sulfur Dioxide (SO2),Mean,ppb,CD,104,Clinton and Chelsea  ,"Clinton and Chelsea  , New York City",Winter 2008-09,39783,7.31,,,,40.76281,-73.993149,Clinton and Chelsea,"Clinton St, Chelsea, Suffolk, MA, US",,MapQuest,street,
164858,383,Sulfur Dioxide (SO2),Mean,ppb,CD,105,Midtown  ,"Midtown  , New York City",Winter 2008-09,39783,10.29,,,,40.754932,-73.984016,Midtown,"Atlanta, Fulton, GA, US",,MapQuest,neighborhood,
164859,383,Sulfur Dioxide (SO2),Mean,ppb,CD,106,Stuyvesant Town and Turtle Bay  ,"Stuyvesant Town and Turtle Bay  , New York City",Winter 2008-09,39783,9.22,,,,40.73244,-73.97771,Stuyvesant Town and Turtle Bay,"New York, New York, NY, US",,MapQuest,neighborhood,
